,BorrowerState,OriginatingLender,CurrentApprovalAmount
604,ND,Cornerstone Bank,127922397
605,ND,Bravera Bank,123874817
606,ND,"Alerus Financial, National Association",113836100
607,ND,Choice Financial Group,107165693
608,ND,First Western Bank & Trust,101413251
609,ND,Starion Bank,93334894
610,ND,"Dakota Community Bank & Trust, National Association",79590536
611,ND,Bank Forward,69211455
612,ND,BNC National Bank,66864780
613,ND,Gate City Bank,63163656
614,ND,Dacotah Bank,63094736
615,ND,American State Bank & Trust Company of Williston,62829401
616,ND,First United Bank,41040627
617,ND,First State Bank & Trust,39957684
618,ND,United Community Bank of North Dakota,39851808
619,ND,Unison Bank,35861160
620,ND,Western State Bank,33427000
621,NE,First National Bank of Omaha,518990791
622,NE,Union Bank and Trust Company,404207849
623,NE,Pinnacle Bank,397238394
624,NE,American National Bank,260048178
625,NE,First Interstate Bank,181922637
626,NE,Five Points Bank,166507453
627,NE,Security National Bank of Omaha,151835180
628,NE,Cornerstone Bank,93321591
629,NE,Access Bank,92733776
630,NE,Core Bank,91219061
631,NE,Frontier Bank,77155995
632,NE,"U.S. Bank, National Association",74343118
633,NE,Northwest Bank,72058293
634,NE,Cornhusker Bank,71546353
635,NE,Midwest Bank,69231148
636,NE,First State Bank,67738560
637,NE,Platte Valley Bank,67499744
638,NE,Arbor Bank,55239184
639,NE,"Farm Credit Services of America, ACA",54561802
640,NE,NebraskaLand Bank,54420041
641,NH,"TD Bank, National Association",500467622
642,NH,"Citizens Bank, National Association",364126297
643,NH,Manufacturers and Traders Trust Company,251402499
644,NH,Eastern Bank,194742211
645,NH,Enterprise Bank and Trust Company,174677956
646,NH,Primary Bank,144164711
647,NH,Bank of New Hampshire,140796019
648,NH,"Bank of America, National Association",139907253
649,NH,Merrimack County Savings Bank,113794583
650,NH,Mascoma Bank,106125230
651,NH,Northway Bank,95276487
652,NH,Bar Harbor Bank & Trust,79320388
653,NH,Meredith Village Savings Bank,74500471
654,NH,Bangor Savings Bank,71358357
655,NH,St. Mary's Bank,65418250
656,NH,BankProv,62532337
657,NH,Savings Bank of Walpole,52356948
658,NH,"NBT Bank, National Association",49877739
659,NH,Pentucket Bank,49546092
660,NH,Kennebunk Savings Bank,49191296
661,NJ,"TD Bank, National Association",3161079490
662,NJ,"PNC Bank, National Association",1940101169
663,NJ,"Bank of America, National Association",1811578754
664,NJ,"JPMorgan Chase Bank, National Association",1794608666
665,NJ,Valley National Bank,1298531458
666,NJ,"Fulton Bank, National Association",710075652
667,NJ,Columbia Bank,706024776
668,NJ,Manufacturers and Traders Trust Company,639280780
669,NJ,Provident Bank,566103420
670,NJ,Lakeland Bank,543756717
671,NJ,Cross River Bank,537519434
672,NJ,"Wells Fargo Bank, National Association",521264543
673,NJ,Northeast Bank,510799349
674,NJ,"OceanFirst Bank, National Association",487755057
675,NJ,ConnectOne Bank,484337270
